[AddinEntry] 2026-04-20 20:28:07 | OnStartup iniciado.
[AddinEntry] 2026-04-20 20:28:07 | BatchUpdateHandler creado correctamente.
[AddinEntry] 2026-04-20 20:28:07 | ExternalEvent creado correctamente.
[AddinEntry] 2026-04-20 20:28:07 | OnStartup finalizado OK.
[AddinEntry] 2026-04-20 23:05:06 | OnStartup iniciado.
[AddinEntry] 2026-04-20 23:05:06 | BatchUpdateHandler creado correctamente.
[AddinEntry] 2026-04-20 23:05:06 | ExternalEvent creado correctamente.
[AddinEntry] 2026-04-20 23:05:06 | OnStartup finalizado OK.
[AddinEntry] 2026-04-21 10:31:50 | OnStartup iniciado.
[AddinEntry] 2026-04-21 10:31:50 | BatchUpdateHandler creado correctamente.
[AddinEntry] 2026-04-21 10:31:50 | ExternalEvent creado correctamente.
[AddinEntry] 2026-04-21 10:31:50 | OnStartup finalizado OK.
